id,student,merchant,orderTime,status,totalAmount,items
1,stu_1,喜茶,2024-01-01 12:30:00,已完成,38.0,清爽芭乐提:2;
2,stu_32,古茗,2024-01-01 09:00:00,已完成,34.0,云深幽兰:2;
3,stu_23,蜜雪冰城,2024-01-02 12:51:00,已完成,32.0,青提肉多多:2;新鲜冰激凌:1;满杯百香果:1;冰鲜柠檬水:1;
4,吴十,茶百道,2024-01-02 18:52:00,已完成,80.0,青提茉莉:1;超级大瓜:3;
5,stu_3,瑞幸,2024-01-02 18:31:00,已完成,55.9,荔枝冰萃:2;生椰拿铁:1;
6,stu_40,蜜雪冰城,2024-01-02 18:48:00,已完成,50.0,青提肉多多:2;新鲜冰激凌:1;满杯百香果:2;冰鲜柠檬水:3;
7,stu_11,星巴克,2024-01-03 11:12:00,已完成,141.0,抹茶星冰乐:1;焦糖玛奇朵:1;燕麦拿铁:1;比利时黑巧拿铁:1;
8,孙八,喜茶,2024-01-03 12:12:00,已完成,95.0,清爽芭乐提:1;牦牛乳酥油茶:1;多肉桃李:2;羽衣纤体瓶:1;
9,stu_4,古茗,2024-01-03 06:08:00,已完成,28.0,桃桃冰冰李:2;
10,stu_30,奈雪的茶,2024-01-03 22:49:00,已完成,32.0,金色山脉珍珠奶茶:2;
11,stu_9,喜茶,2024-01-04 09:02:00,已完成,19.0,清爽芭乐提:1;
12,stu_37,蜜雪冰城,2024-01-04 16:46:00,已完成,3.0,新鲜冰激凌:1;
13,stu_47,蜜雪冰城,2024-01-05 10:45:00,已完成,16.0,满杯百香果:2;
14,stu_30,蜜雪冰城,2024-01-05 22:38:00,已取消,24.0,青提肉多多:3;
15,stu_46,奈雪的茶,2024-01-05 18:11:00,已完成,51.0,茉莉初雪奶茶:1;霸气橙子:1;金色山脉珍珠奶茶:1;
16,stu_18,喜茶,2024-01-06 06:07:00,已完成,38.0,羽衣纤体瓶:2;
17,stu_13,古茗,2024-01-06 14:20:00,已完成,45.0,云深幽兰:1;云雾栀子:2;
18,stu_5,蜜雪冰城,2024-01-06 06:40:00,已取消,8.0,青提肉多多:1;
19,吴十,瑞幸,2024-01-07 22:17:00,已完成,32.0,鲜萃轻轻茉莉:2;
20,stu_27,古茗,2024-01-07 14:06:00,已完成,17.0,云深幽兰:1;
21,吴十,蜜雪冰城,2024-01-07 10:15:00,已完成,16.0,新鲜冰激凌:1;满杯百香果:1;冰鲜柠檬水:1;
22,stu_42,喜茶,2024-01-08 17:25:00,已完成,80.0,牦牛乳酥油茶:1;羽衣纤体瓶:3;
23,stu_33,茶百道,2024-01-08 06:53:00,已完成,18.0,蜜瓜冰淇淋:1;
24,stu_48,奈雪的茶,2024-01-09 15:11:00,已完成,35.0,茉莉初雪奶茶:1;霸气橙子:1;
25,stu_33,蜜雪冰城,2024-01-09 15:48:00,已完成,5.0,冰鲜柠檬水:1;
26,stu_5,蜜雪冰城,2024-01-10 15:21:00,已完成,10.0,冰鲜柠檬水:2;
27,stu_23,古茗,2024-01-10 14:12:00,已完成,31.0,云深幽兰:1;云雾栀子:1;
28,stu_10,茶百道,2024-01-11 13:34:00,已完成,14.0,青提茉莉:1;
29,stu_21,茶百道,2024-01-11 18:01:00,已完成,82.0,青提茉莉:3;超级大瓜:1;蜜瓜冰淇淋:1;
30,stu_16,古茗,2024-01-12 13:43:00,已完成,17.0,云深幽兰:1;
31,stu_14,蜜雪冰城,2024-01-12 21:57:00,已完成,6.0,新鲜冰激凌:2;
32,stu_40,茶百道,2024-01-13 15:22:00,已完成,32.0,青提茉莉:1;蜜瓜冰淇淋:1;
33,stu_41,瑞幸,2024-01-13 09:38:00,已完成,13.9,生椰拿铁:1;
34,stu_28,茶百道,2024-01-13 11:46:00,已完成,28.0,青提茉莉:2;
35,stu_20,茶百道,2024-01-13 09:57:00,已完成,58.0,青提茉莉:1;超级大瓜:2;
36,王五,星巴克,2024-01-14 12:22:00,已完成,66.0,燕麦拿铁:2;
37,stu_42,蜜雪冰城,2024-01-14 12:59:00,已完成,32.0,青提肉多多:2;新鲜冰激凌:1;满杯百香果:1;冰鲜柠檬水:1;
38,stu_37,古茗,2024-01-14 17:29:00,已完成,76.0,桃桃冰冰李:2;云深幽兰:2;云雾栀子:1;
39,钱七,喜茶,2024-01-14 09:09:00,已完成,84.0,清爽芭乐提:1;牦牛乳酥油茶:2;羽衣纤体瓶:1;
40,stu_11,蜜雪冰城,2024-01-15 19:04:00,已完成,16.0,青提肉多多:2;
41,周九,蜜雪冰城,2024-01-15 06:32:00,已完成,24.0,青提肉多多:3;
42,王五,蜜雪冰城,2024-01-16 07:44:00,已取消,5.0,冰鲜柠檬水:1;
43,stu_12,蜜雪冰城,2024-01-16 17:34:00,已完成,8.0,青提肉多多:1;
44,stu_6,古茗,2024-01-16 19:34:00,已取消,17.0,云深幽兰:1;
45,孙八,喜茶,2024-01-17 15:22:00,已完成,46.0,牦牛乳酥油茶:2;
46,stu_3,星巴克,2024-01-17 19:59:00,已完成,65.0,抹茶星冰乐:1;燕麦拿铁:1;
47,stu_23,古茗,2024-01-17 06:59:00,已完成,28.0,云雾栀子:2;
48,stu_48,茶百道,2024-01-17 13:11:00,已完成,14.0,青提茉莉:1;
49,stu_50,古茗,2024-01-18 17:48:00,已完成,76.0,桃桃冰冰李:2;云深幽兰:2;云雾栀子:1;
50,stu_16,古茗,2024-01-18 07:23:00,已完成,14.0,桃桃冰冰李:1;
51,stu_27,茶百道,2024-01-19 11:41:00,已完成,94.0,青提茉莉:1;超级大瓜:2;蜜瓜冰淇淋:2;
52,stu_6,古茗,2024-01-19 14:31:00,已完成,14.0,桃桃冰冰李:1;
53,周九,蜜雪冰城,2024-01-19 06:38:00,已完成,5.0,冰鲜柠檬水:1;
54,stu_40,古茗,2024-01-20 13:36:00,已完成,14.0,云雾栀子:1;
55,stu_33,喜茶,2024-01-20 10:44:00,已完成,57.0,羽衣纤体瓶:3;
56,stu_5,蜜雪冰城,2024-01-20 08:35:00,已完成,13.0,新鲜冰激凌:1;冰鲜柠檬水:2;
57,stu_19,瑞幸,2024-01-21 20:01:00,已完成,42.0,荔枝冰萃:2;
58,王五,茶百道,2024-01-21 07:14:00,已完成,36.0,青提茉莉:1;超级大瓜:1;
59,stu_40,茶百道,2024-01-21 19:06:00,已完成,14.0,青提茉莉:1;
60,赵六,蜜雪冰城,2024-01-22 07:14:00,已完成,16.0,青提肉多多:2;
61,孙八,喜茶,2024-01-22 08:54:00,已完成,23.0,牦牛乳酥油茶:1;
62,stu_4,蜜雪冰城,2024-01-23 13:28:00,已完成,31.0,满杯百香果:2;冰鲜柠檬水:3;
63,stu_33,蜜雪冰城,2024-01-23 16:18:00,已完成,8.0,青提肉多多:1;
64,stu_34,蜜雪冰城,2024-01-24 18:01:00,已完成,24.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:1;冰鲜柠檬水:1;
65,stu_50,古茗,2024-01-24 19:30:00,已完成,17.0,云深幽兰:1;
66,赵六,蜜雪冰城,2024-01-25 14:23:00,已完成,3.0,新鲜冰激凌:1;
67,stu_33,瑞幸,2024-01-25 15:24:00,已完成,16.0,鲜萃轻轻茉莉:1;
68,stu_26,茶百道,2024-01-26 15:57:00,已取消,86.0,青提茉莉:1;蜜瓜冰淇淋:4;
69,stu_4,瑞幸,2024-01-26 10:59:00,已完成,42.0,荔枝冰萃:2;
70,stu_39,茶百道,2024-01-27 21:25:00,已完成,28.0,青提茉莉:2;
71,stu_24,瑞幸,2024-01-27 20:40:00,已完成,42.0,荔枝冰萃:2;
72,stu_26,蜜雪冰城,2024-01-27 08:12:00,已完成,24.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:1;冰鲜柠檬水:1;
73,stu_20,古茗,2024-01-28 08:05:00,已完成,59.0,桃桃冰冰李:2;云深幽兰:1;云雾栀子:1;
74,stu_47,茶百道,2024-01-28 14:35:00,已完成,28.0,青提茉莉:2;
75,stu_2,奈雪的茶,2024-01-28 11:32:00,已完成,70.0,茉莉初雪奶茶:1;霸气橙子:2;金色山脉珍珠奶茶:1;
76,stu_49,喜茶,2024-01-29 22:18:00,已完成,42.0,牦牛乳酥油茶:1;羽衣纤体瓶:1;
77,stu_31,古茗,2024-01-29 17:49:00,已完成,59.0,桃桃冰冰李:1;云深幽兰:1;云雾栀子:2;
78,吴十,蜜雪冰城,2024-01-30 18:08:00,已完成,32.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:2;冰鲜柠檬水:1;
79,stu_22,古茗,2024-01-30 08:23:00,已完成,115.0,桃桃冰冰李:5;云深幽兰:1;云雾栀子:2;
80,stu_5,蜜雪冰城,2024-01-31 09:06:00,已完成,19.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:1;
81,stu_21,古茗,2024-01-31 09:31:00,已完成,17.0,云深幽兰:1;
82,stu_26,蜜雪冰城,2024-01-31 22:58:00,已完成,8.0,青提肉多多:1;
83,stu_10,蜜雪冰城,2024-02-01 15:56:00,已完成,8.0,满杯百香果:1;
84,stu_16,蜜雪冰城,2024-02-01 19:35:00,已完成,10.0,冰鲜柠檬水:2;
85,stu_34,星巴克,2024-02-01 16:24:00,已完成,37.0,焦糖玛奇朵:1;
86,stu_25,喜茶,2024-02-02 14:58:00,已完成,42.0,牦牛乳酥油茶:1;羽衣纤体瓶:1;
87,stu_16,古茗,2024-02-02 07:37:00,已完成,14.0,云雾栀子:1;
88,stu_36,古茗,2024-02-03 10:41:00,已完成,14.0,云雾栀子:1;
89,stu_11,奈雪的茶,2024-02-03 21:09:00,已完成,16.0,金色山脉珍珠奶茶:1;
90,stu_34,蜜雪冰城,2024-02-03 11:55:00,已完成,29.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:1;冰鲜柠檬水:2;
91,stu_41,茶百道,2024-02-03 06:07:00,已完成,14.0,青提茉莉:1;
92,stu_7,古茗,2024-02-03 12:26:00,已完成,45.0,桃桃冰冰李:1;云深幽兰:1;云雾栀子:1;
93,stu_28,喜茶,2024-02-04 19:39:00,已完成,23.0,牦牛乳酥油茶:1;
94,stu_35,蜜雪冰城,2024-02-04 07:09:00,已完成,5.0,冰鲜柠檬水:1;
95,stu_48,茶百道,2024-02-04 15:31:00,已完成,46.0,青提茉莉:2;蜜瓜冰淇淋:1;
96,stu_23,蜜雪冰城,2024-02-04 09:09:00,已完成,15.0,冰鲜柠檬水:3;
97,stu_7,蜜雪冰城,2024-02-05 18:57:00,已完成,27.0,青提肉多多:1;新鲜冰激凌:2;满杯百香果:1;冰鲜柠檬水:1;
98,stu_20,奈雪的茶,2024-02-05 14:49:00,已完成,48.0,茉莉初雪奶茶:3;
99,张三,蜜雪冰城,2024-02-05 14:21:00,已完成,8.0,青提肉多多:1;
100,stu_25,茶百道,2024-02-06 06:58:00,已完成,14.0,青提茉莉:1;
101,stu_8,瑞幸,2024-02-06 18:39:00,已完成,64.8,橙C美式:2;羽衣轻体果蔬茶:1;荔枝冰萃:1;
102,stu_49,茶百道,2024-02-07 08:51:00,已完成,76.0,青提茉莉:1;超级大瓜:2;蜜瓜冰淇淋:1;
103,stu_38,喜茶,2024-02-07 15:02:00,已完成,23.0,牦牛乳酥油茶:1;
104,stu_25,奈雪的茶,2024-02-07 15:38:00,已完成,57.0,霸气橙子:3;
105,stu_32,瑞幸,2024-02-08 14:15:00,已完成,48.0,羽衣轻体果蔬茶:1;鲜萃轻轻茉莉:2;
106,stu_27,喜茶,2024-02-08 14:30:00,已完成,46.0,牦牛乳酥油茶:2;
107,stu_15,茶百道,2024-02-08 18:49:00,已完成,76.0,青提茉莉:1;超级大瓜:2;蜜瓜冰淇淋:1;
108,stu_34,蜜雪冰城,2024-02-09 17:50:00,已完成,24.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:1;冰鲜柠檬水:1;
109,stu_16,奈雪的茶,2024-02-09 22:48:00,已完成,19.0,霸气橙子:1;
110,stu_50,蜜雪冰城,2024-02-10 16:51:00,已完成,16.0,青提肉多多:2;
111,stu_9,星巴克,2024-02-10 14:06:00,已完成,141.0,抹茶星冰乐:1;焦糖玛奇朵:1;白桃气泡美式:2;
112,stu_17,古茗,2024-02-10 22:43:00,已完成,17.0,云深幽兰:1;
113,stu_36,古茗,2024-02-11 08:32:00,已完成,65.0,桃桃冰冰李:1;云深幽兰:3;
114,stu_16,蜜雪冰城,2024-02-11 09:15:00,已完成,10.0,冰鲜柠檬水:2;
115,吴十,蜜雪冰城,2024-02-11 20:22:00,已完成,16.0,青提肉多多:1;满杯百香果:1;
116,stu_8,古茗,2024-02-12 20:49:00,已完成,14.0,云雾栀子:1;
117,stu_14,蜜雪冰城,2024-02-12 14:03:00,已完成,5.0,冰鲜柠檬水:1;
118,stu_31,瑞幸,2024-02-13 10:25:00,已完成,21.0,荔枝冰萃:1;
119,stu_11,古茗,2024-02-13 21:48:00,已完成,17.0,云深幽兰:1;
120,stu_41,奈雪的茶,2024-02-14 13:35:00,已完成,51.0,茉莉初雪奶茶:1;霸气橙子:1;金色山脉珍珠奶茶:1;
121,stu_36,蜜雪冰城,2024-02-14 14:36:00,已完成,3.0,新鲜冰激凌:1;
122,stu_19,茶百道,2024-02-14 07:31:00,已完成,18.0,蜜瓜冰淇淋:1;
123,stu_41,茶百道,2024-02-14 11:40:00,已完成,68.0,青提茉莉:2;超级大瓜:1;蜜瓜冰淇淋:1;
124,stu_24,蜜雪冰城,2024-02-15 21:47:00,已完成,3.0,新鲜冰激凌:1;
125,stu_21,蜜雪冰城,2024-02-15 13:32:00,已完成,6.0,新鲜冰激凌:2;
126,stu_10,古茗,2024-02-16 20:04:00,已完成,42.0,云雾栀子:3;
127,stu_14,茶百道,2024-02-16 10:08:00,已完成,14.0,青提茉莉:1;
128,stu_41,古茗,2024-02-16 21:17:00,已完成,59.0,桃桃冰冰李:1;云深幽兰:1;云雾栀子:2;
129,stu_30,古茗,2024-02-17 21:01:00,已完成,14.0,云雾栀子:1;
130,stu_45,茶百道,2024-02-17 16:48:00,已完成,14.0,青提茉莉:1;
131,stu_28,茶百道,2024-02-17 22:55:00,已完成,28.0,青提茉莉:2;
132,张三,蜜雪冰城,2024-02-18 18:48:00,已完成,48.0,青提肉多多:2;新鲜冰激凌:1;满杯百香果:3;冰鲜柠檬水:1;
133,stu_23,蜜雪冰城,2024-02-18 13:06:00,已完成,32.0,青提肉多多:3;新鲜冰激凌:1;冰鲜柠檬水:1;
134,李四,茶百道,2024-02-18 08:51:00,已完成,96.0,青提茉莉:4;超级大瓜:1;蜜瓜冰淇淋:1;
135,stu_48,古茗,2024-02-18 17:07:00,已完成,59.0,桃桃冰冰李:2;云深幽兰:1;云雾栀子:1;
136,stu_15,古茗,2024-02-19 07:19:00,已完成,14.0,云雾栀子:1;
137,stu_13,瑞幸,2024-02-19 18:15:00,已完成,64.8,橙C美式:1;羽衣轻体果蔬茶:1;荔枝冰萃:1;生椰拿铁:1;
138,stu_42,蜜雪冰城,2024-02-20 14:03:00,已完成,16.0,满杯百香果:2;
139,钱七,茶百道,2024-02-20 10:42:00,已完成,28.0,青提茉莉:2;
140,stu_44,茶百道,2024-02-20 21:28:00,已完成,18.0,蜜瓜冰淇淋:1;
141,stu_29,瑞幸,2024-02-20 18:08:00,已完成,80.8,橙C美式:2;羽衣轻体果蔬茶:1;鲜萃轻轻茉莉:1;荔枝冰萃:1;
142,stu_33,茶百道,2024-02-21 06:58:00,已取消,14.0,青提茉莉:1;
143,stu_14,奈雪的茶,2024-02-21 12:36:00,已完成,35.0,茉莉初雪奶茶:1;霸气橙子:1;
144,stu_24,古茗,2024-02-22 20:00:00,已完成,116.0,桃桃冰冰李:1;云深幽兰:6;
145,stu_18,星巴克,2024-02-22 20:29:00,已完成,37.0,焦糖玛奇朵:1;
146,stu_21,古茗,2024-02-22 09:50:00,已完成,45.0,桃桃冰冰李:1;云深幽兰:1;云雾栀子:1;
147,stu_8,星巴克,2024-02-22 13:06:00,已完成,39.0,比利时黑巧拿铁:1;
148,stu_3,喜茶,2024-02-23 06:26:00,已完成,38.0,羽衣纤体瓶:2;
149,stu_48,奈雪的茶,2024-02-23 22:46:00,已完成,67.0,茉莉初雪奶茶:2;霸气橙子:1;金色山脉珍珠奶茶:1;
150,stu_35,奈雪的茶,2024-02-24 15:59:00,已完成,35.0,茉莉初雪奶茶:1;霸气橙子:1;
151,钱七,瑞幸,2024-02-24 17:23:00,已完成,96.8,橙C美式:1;鲜萃轻轻茉莉:3;荔枝冰萃:1;生椰拿铁:1;
152,stu_36,蜜雪冰城,2024-02-24 14:09:00,已完成,10.0,冰鲜柠檬水:2;
153,stu_41,古茗,2024-02-25 11:35:00,已取消,59.0,桃桃冰冰李:2;云深幽兰:1;云雾栀子:1;
154,吴十,茶百道,2024-02-25 19:13:00,已完成,14.0,青提茉莉:1;
155,stu_44,古茗,2024-02-25 06:12:00,已完成,14.0,桃桃冰冰李:1;
156,stu_19,喜茶,2024-02-26 06:50:00,已完成,19.0,羽衣纤体瓶:1;
157,stu_43,茶百道,2024-02-26 07:43:00,已完成,14.0,青提茉莉:1;
158,stu_31,蜜雪冰城,2024-02-27 22:08:00,已完成,32.0,青提肉多多:4;
159,stu_25,蜜雪冰城,2024-02-27 18:50:00,已取消,11.0,新鲜冰激凌:2;冰鲜柠檬水:1;
160,钱七,茶百道,2024-02-28 06:17:00,已完成,86.0,青提茉莉:1;蜜瓜冰淇淋:4;
161,stu_21,星巴克,2024-02-28 10:15:00,已完成,37.0,焦糖玛奇朵:1;
162,stu_23,茶百道,2024-02-29 21:02:00,已完成,18.0,蜜瓜冰淇淋:1;
163,stu_3,奈雪的茶,2024-02-29 12:23:00,已完成,51.0,茉莉初雪奶茶:1;霸气橙子:1;金色山脉珍珠奶茶:1;
164,stu_1,瑞幸,2024-03-01 18:50:00,已完成,34.9,橙C美式:1;荔枝冰萃:1;
165,stu_44,喜茶,2024-03-01 08:03:00,已完成,19.0,羽衣纤体瓶:1;
166,stu_31,瑞幸,2024-03-02 15:44:00,已完成,79.0,鲜萃轻轻茉莉:1;荔枝冰萃:3;
167,stu_39,奈雪的茶,2024-03-02 22:21:00,已完成,16.0,茉莉初雪奶茶:1;
168,stu_29,喜茶,2024-03-02 12:59:00,已完成,65.0,清爽芭乐提:1;牦牛乳酥油茶:2;
169,stu_46,蜜雪冰城,2024-03-02 08:22:00,已完成,6.0,新鲜冰激凌:2;
170,stu_35,茶百道,2024-03-02 21:58:00,已完成,28.0,青提茉莉:2;
171,stu_7,茶百道,2024-03-03 13:58:00,已完成,46.0,青提茉莉:2;蜜瓜冰淇淋:1;
172,stu_12,蜜雪冰城,2024-03-03 12:37:00,已完成,47.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:2;冰鲜柠檬水:4;
173,stu_16,蜜雪冰城,2024-03-03 12:23:00,已完成,29.0,青提肉多多:1;新鲜冰激凌:1;满杯百香果:1;冰鲜柠檬水:2;
174,stu_15,奈雪的茶,2024-03-04 14:15:00,已完成,35.0,茉莉初雪奶茶:1;霸气橙子:1;
175,stu_29,瑞幸,2024-03-04 11:47:00,已完成,50.9,鲜萃轻轻茉莉:1;荔枝冰萃:1;生椰拿铁:1;
176,stu_33,蜜雪冰城,2024-03-04 07:22:00,已完成,5.0,冰鲜柠檬水:1;
177,stu_47,蜜雪冰城,2024-03-04 22:24:00,已完成,3.0,新鲜冰激凌:1;
178,stu_4,蜜雪冰城,2024-03-05 09:14:00,已完成,3.0,新鲜冰激凌:1;
179,stu_9,奈雪的茶,2024-03-05 14:48:00,已取消,16.0,金色山脉珍珠奶茶:1;
180,stu_31,古茗,2024-03-05 09:11:00,已完成,14.0,桃桃冰冰李:1;
181,stu_49,茶百道,2024-03-05 20:49:00,已完成,54.0,蜜瓜冰淇淋:3;
182,stu_9,蜜雪冰城,2024-03-06 09:41:00,已完成,5.0,冰鲜柠檬水:1;
183,stu_39,蜜雪冰城,2024-03-06 13:41:00,已完成,6.0,新鲜冰激凌:2;
184,stu_2,奈雪的茶,2024-03-06 09:53:00,已完成,19.0,霸气橙子:1;
185,stu_50,喜茶,2024-03-07 12:31:00,已完成,126.0,清爽芭乐提:1;牦牛乳酥油茶:3;羽衣纤体瓶:2;
186,stu_5,星巴克,2024-03-07 09:32:00,已完成,78.0,比利时黑巧拿铁:2;
187,stu_38,奈雪的茶,2024-03-08 15:30:00,已完成,57.0,霸气橙子:3;
188,stu_48,喜茶,2024-03-08 11:48:00,已完成,101.0,清爽芭乐提:1;牦牛乳酥油茶:2;多肉桃李:1;羽衣纤体瓶:1;
189,stu_31,茶百道,2024-03-09 09:41:00,已完成,22.0,超级大瓜:1;
190,stu_11,古茗,2024-03-09 07:21:00,已完成,45.0,桃桃冰冰李:1;云深幽兰:1;云雾栀子:1;
191,stu_33,奈雪的茶,2024-03-09 13:07:00,已完成,16.0,茉莉初雪奶茶:1;
192,stu_23,古茗,2024-03-09 07:10:00,已完成,14.0,云雾栀子:1;
193,stu_6,茶百道,2024-03-10 11:28:00,已完成,32.0,青提茉莉:1;蜜瓜冰淇淋:1;
194,stu_4,古茗,2024-03-10 07:53:00,已完成,28.0,云雾栀子:2;
195,stu_28,瑞幸,2024-03-10 08:55:00,已完成,48.8,荔枝冰萃:1;生椰拿铁:2;
196,stu_33,星巴克,2024-03-11 15:20:00,已完成,33.0,燕麦拿铁:1;
197,吴十,茶百道,2024-03-11 21:21:00,已完成,28.0,青提茉莉:2;
198,stu_47,古茗,2024-03-11 20:52:00,待处理,51.0,云深幽兰:3;
199,stu_46,星巴克,2024-03-11 13:11:00,已完成,32.0,抹茶星冰乐:1;
